state,abbr,poli
Alabama,AL,rep
Alaska,AK,rep
Arizona,AZ,tossup
Arkansas,AR,rep
California,CA,dem
Colorado,CO,dem
Connecticut,CT,dem
Delaware,DE,dem
Florida,FL,rep
Georgia,GA,tossup
Hawaii,HI,dem
Idaho,ID,rep
Illinois,IL,dem
Indiana,IN,rep
Iowa,IA,rep
Kansas,KS,rep
Kentucky,KY,rep
Louisiana,LA,rep
Maine,ME,dem
Maryland,MD,dem
Massachusetts,MA,dem
Michigan,MI,tossup
Minnesota,MN,dem
Mississippi,MS,rep
Missouri,MO,rep
Montana,MT,rep
Nebraska,NE,rep
Nevada,NV,tossup
New Hampshire,NH,tossup
New Jersey,NJ,dem
New Mexico,NM,dem
New York,NY,dem
North Carolina,NC,tossup
North Dakota,ND,rep
Ohio,OH,rep
Oklahoma,OK,rep
Oregon,OR,dem
Pennsylvania,PA,tossup
Rhode Island,RI,dem
South Carolina,SC,rep
South Dakota,SD,rep
Tennessee,TN,rep
Texas,TX,rep
Utah,UT,rep
Vermont,VT,dem
Virginia,VA,dem
Washington,WA,dem
West Virginia,WV,rep
Wisconsin,WI,tossup
Wyoming,WY,rep
DC,DC,dem
